,评论id,评论者id,评论时间,评论者姓名,评论者IP归属地,评论者粉籍,评论内容,fan_cnt,like_cnt
1279,5063857720787995,2881283653,2024-08-05 03:53:45,就要辣椒了,来自山东,loyal_fans,@陈丽君_点绛唇,2971,0
1280,5063857685136567,7841457309,2024-08-05 03:53:37,光_神魂颠倒,来自内蒙古,loyal_fans,宝子别搭理他们，她们从说问题到恶毒的诅咒真不是你解释就听的，快睡觉,0,0
1281,5063857679368850,7766440587,2024-08-05 03:53:35,用户7766440587,来自河南,loyal_fans,爱君君,0,0
1282,5063863197762240,3848860109,2024-08-05 04:15:31,拖延症十级患者e,来自山东,loyal_fans,人红是非多，君君不要太在意网上的言论了,27,0
1283,5063858467635710,7933590610,2024-08-05 03:56:43,爱吃辣椒_238,来自内蒙古,,睡醒了就又是崭新的一天,0,0
1284,5063863150051794,5390407818,2024-08-05 04:15:19,Rain19988,来自河北,loyal_fans,说星星好看的人，一定没见过你的眼睛过分帅气也是违法的😎『陈丽君的星辰』@陈丽君_点绛唇,159,0
1285,5063859923058988,1951681067,2024-08-05 04:02:29,Z-qian817,来自广东,loyal_fans,不知情的前提下，不要随意对人评头论足；不要随意当网络喷子引导言论。 做个人！好好做个安静善良的人。   喜欢就再喜欢一点，不喜欢绕道就好。,174,0
1286,5063860012712191,1743177755,2024-08-05 04:02:51,人类祭司周深_反深代词,来自福建,,君君格局！天下莫柔弱于水，而攻坚强者莫之能胜，以其无以易之。弱之胜强，柔之胜刚，天下莫不知，莫能行。是以圣人云：受国之垢，是谓社稷主；受国不祥，是为天下王。正言若反。,288,0
1287,5063859178308020,2969884743,2024-08-05 03:59:33,KLDHM513,来自广西,loyal_fans,哎… 陈老师好好休息吧，会一直支持你们的,1289,0
1288,5063860073529878,6515410647,2024-08-05 04:03:06,92四四59,来自江苏,loyal_fans,//@养乐多小岛-:宝宝你很棒你唱的很好听，要开心要开心要开心@陈丽君_点绛唇,124,0
1289,5063860090832436,7938010213,2024-08-05 04:03:10,用户7938010213,来自重庆,,君君人美心善歌声动听  第一次看到真正意义上的传统文化传播人 哈哈哈,0,0
1290,5063860178912028,7750254655,2024-08-05 04:03:31,为君举大旗,来自重庆,loyal_fans,评论区某家的粉丝还是不用来找存在感了，君君即使有不对的地方，但她已经尽力弥补。并且没有哪一人能管好每一个粉丝。最后，你们在这好为人师是在干嘛呢，别逮到一个问题就认为可以教别人。,0,0
1291,5063860193329711,7925076013,2024-08-05 04:03:35,hh31381,来自广东,loyal_fans,爱你宝宝,1,0
1292,5063860235272484,5974653447,2024-08-05 04:03:45,野生达摩,来自广东,loyal_fans,君君，会好的，没关系,149,0
1293,5063860292420165,6400217198,2024-08-05 04:03:58,乌索酱旱獭,来自湖南,loyal_fans,宝宝别被垃圾影响，那个人才是惯偷，粉丝是网络暴力惯犯,21,0
1294,5063860317324006,7872493068,2024-08-05 04:04:04,Riiscw,来自上海,loyal_fans,宝宝好棒～,29,0
1295,5063860342752000,7920714788,2024-08-05 04:04:10,破山拆庙_,来自浙江,loyal_fans,宝宝最棒了,0,0
1296,5063860392821569,5182393004,2024-08-05 04:04:22,潜水意识形态,来自江苏,loyal_fans,不需要你改,3,0
1297,5063860402783310,7926413934,2024-08-05 04:04:25,爫马,来自广东,loyal_fans,君君宝贝加油，外界纷纷扰扰，咱们做好自己就行你真的真的真的很棒很棒很棒很棒,6,0
1298,5063860455211423,6358013247,2024-08-05 04:04:37,可能是aaa,来自河北,loyal_fans,宝贝早点休息 我不是不能怼人 我只是更心疼你,14,0
1299,5063860514193734,7931173267,2024-08-05 04:04:51,用户7931173267,来自上海,loyal_fans,人美心善的陈丽君，君君，永远支持你,0,0
1300,5063859157074053,6433580117,2024-08-05 03:59:27,佛系胖芦苇,来自江苏,loyal_fans,昨天舞台超级棒，君君早点休息,46,0
1301,5063859144491241,7933590610,2024-08-05 03:59:25,爱吃辣椒_238,来自内蒙古,,陈丽君唱大戏呀 @陈丽君_点绛唇,0,0
1302,5063859062702532,5493669353,2024-08-05 03:59:05,clj心里的火种,来自河南,loyal_fans,宝宝！你永永远远都是最棒的！@陈丽君_点绛唇,6,0
1303,5063859060867944,7933590610,2024-08-05 03:59:05,爱吃辣椒_238,来自内蒙古,,唱的特别好听 一定多唱多唱多唱@陈丽君_点绛唇,0,0
1304,5063860635303962,5741035864,2024-08-05 04:05:19,半梦半醒半忧殇i,来自广东,loyal_fans,陈丽君超级棒，好好休息,13,0
1305,5063859037012752,7924237277,2024-08-05 03:58:59,0509美丽的梦,来自江苏,loyal_fans,#陈丽君 浮生一白# 宝宝，早点休息，爱你，唱的超级棒,0,0
1306,5063858981175827,5974653447,2024-08-05 03:58:46,野生达摩,来自广东,loyal_fans,君君，你要好好的，别被影响,149,0
1307,5063860673053632,1291873872,2024-08-05 04:05:29,琤WJ,来自河南,loyal_fans,#陈丽君 浮生一白# 唱的真棒 #陈丽君青年戏曲传播者# @陈丽君_点绛唇,724,0
1308,5063860731511154,7506945119,2024-08-05 04:05:43,晴婷y,来自江西,loyal_fans,宝宝早点休息,569,0
1309,5063858903057939,7933590610,2024-08-05 03:58:27,爱吃辣椒_238,来自内蒙古,,永远善良真诚的你呀@陈丽君_点绛唇,0,0
1310,5063860748550888,1291873872,2024-08-05 04:05:47,琤WJ,来自河南,loyal_fans,早早休息,724,0
1311,5063860763493269,5974653447,2024-08-05 04:05:51,野生达摩,来自广东,loyal_fans,关关难过关关过,149,0
1312,5063860811202972,7490099689,2024-08-05 04:06:02,morley希望每天都快乐,来自广西,,不止这次的，上传音乐平台的也处理一下,105,0
