,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
412,5064904819607382,曜_x魄,5787231512,f,2024-08-08 01:14:33,小米10S,河南,,False,,"#陈丽君回复周深粉丝#没有后台没有营销的小女孩呀怎么突然出现这个热搜呢？我们解密一下吧！如果现在实在《解密》不出来，那我去电影院看《解密》是不是就能《解密》了啊，如果有朋友《解密》出来了，能不能给我说一下《解密》出来的结果啊。周深演唱电影同名主题曲《解密》
#周深百花奖闭幕式演唱解密主题曲#",3,0,0,14
413,5064904837693742,zs小咪_,6321252318,f,2024-08-08 01:14:37,iPhone客户端,贵州,,True,超话粉丝大咖（周深超话）,#陈丽君回复周深粉丝#大家去看解密！！！超级无敌好看！也听听周深在里面的同名歌曲《解密》超级无敌震撼,14,0,0,129
414,5064904891433420,趁风起时99,5758439109,f,2024-08-08 01:14:50,nova12系列出色蓝不住,浙江,,False,,#陈丽君回复周深粉丝#挺神经的，这不依不饶的，周深在干什么啊？有这个必要吗？,406,95,2,80
415,5064905017787723,住在星星上的兔子姑娘_要上岸版,6887882254,f,2024-08-08 01:15:20,HUAWEI P60 Pro,山西,不管世界如何，都要向着阳光野蛮生长，成为照亮世界的大人,True,超话粉丝大咖（周深超话）,#陈丽君回复周深粉丝#我的那个天哪，怎么还有君丝在这里颠倒黑白，好好看看这个关联，哪一个不是和你家那《没有背景》《没有团队》的《小女孩》有关的啊我的那个清汤大老爷啊，词条一到半夜就飘上来了，是觉得晚上我家没人了嘛？,31,3,0,299
416,5064905025391585,一粒生的米,6971466954,f,2024-08-08 01:15:22,HarmonyOS设备,湖北,风雨同周，深情不移~,False,,"#陈丽君回复周深粉丝##周深献唱电影解密主题曲#
窃姐对窃取热度的狂热程度真是超乎想象直接又买一个词条换一个字却舍不得换主持人，还顺便推销电影，怎么您心疼钱了吗大家不如来听听周深为电影解密献唱的同名中文主题曲吧！兼具艺术性和技巧性的一首为周深量身定制的一首歌！ 一粒生的米的微博视频",12,0,0,68
417,5064905051603890,Humi是枚鲁米,5497856897,f,2024-08-08 01:15:28,听反深代词iPhone 14 Pro Max,广东,周深天下第一萌☝️,False,,#陈丽君回复周深粉丝#欢迎每个人翻唱周深的新歌《解密》（只要你嗓子可以哈哈😆） 但是翻唱完以后不能把歌曲《解密》偷偷自己起个名字作为新作品发布哦，我也是多余提醒，毕竟正常人都不会做这下三滥的事儿哒 电影解密的微博视频,0,0,0,108
418,5064905118188879,_Lu19,6649776087,m,2024-08-08 01:15:44,Xiaomi 14,广东,镇魂丨就当茶莉的舔狗，看不惯就拱👊🏻,False,,#陈丽君回复周深粉丝# 君君胆敢在我们周深粉丝的tag里面带上白蛇的标签，那就惩罚君君去看电影解密，听周深献唱的《解密》电影同名主题曲吧，这样的话我勉为其难原谅君君啦,21,0,4,191
419,5064905185297989,呼啦啦呀jie,6750575024,f,2024-08-08 01:16:00,真我Q2 双5G手机,广东,,False,,#陈丽君回复周深粉丝#解密电影约起来,8,0,0,1
420,5064905243230311,雨落卿尘1996,6765136173,f,2024-08-08 01:16:13,iQOO Z5 性能先锋,广东,,False,,#陈丽君回复周深粉丝#看不懂，还是去电影院看一下解密吧， 也许看了解密，我也还是看不懂哈哈哈，好了，说正事大家快去电影院看《解密》和《云边有个小卖部》#周深献唱电影解密主题曲##周深唱云边有个小卖部主题曲#,10,0,0,8
421,5064905599748848,啾星星嘤嘤嘤,5029201679,f,2024-08-08 01:17:39,Android,广东,【啾星✨ ✨ 】,False,,#陈丽君回复周深粉丝#🍵姐啊，差不多得了行不行啊yx蹭rd也不是这样蹭的啊 周深粉丝很忙的 放过我们吧！ 既然你已经承认了侵权事实也道歉了，就没啥好说的了不是？管好你自己和你的粉就行啦 真的是累了又来focous周深粉丝！,52,3,2,86
422,5064905793210840,雨落卿尘1996,6765136173,f,2024-08-08 01:18:25,iQOO Z5 性能先锋,广东,,False,,#陈丽君回复周深粉丝#她要去看解密了！#周深献唱电影解密主题曲##周深唱云边有个小卖部主题曲#,8,2,1,8
423,5064905910389444,Nostalgia_舟畔梨诗雪,7829648735,f,2024-08-08 01:18:53,周深老婆的Android,浙江,我会用歌声的方式陪伴你们活下去。 - SHEN.,True,微博剪辑视频博主,大家《解密》出来了吗？没有《解密》出来的话，听一下歌手周深的《解密》，这样应该就可以《解密》出来了，欢迎大家来听歌手周深的《解密》，多多支持呀~#陈丽君回复周深粉丝#,6,0,0,1.1万
424,5064906022063896,椰子叻_,5312806628,f,2024-08-08 01:19:20,周周的iPhone 13,海南,家里有只周深,True,超话粉丝大咖（周深超话）,#陈丽君回复周深粉丝# 这么喜欢蹭你周老师的热度？你周深老师的演唱会又又又又售罄啦，代言的产品销量也超级可观，抽空还能给米姐分享点自拍日常照，每天行程忙的飞起，你们文盲又喜欢偷歌的陈丽君姐姐不会还没有行程在家想着怎么偷歌蹭周老师热度吧对了，电影我还是推荐去看《解密》,19,3,0,318
425,5064906132949641,雨落卿尘1996,6765136173,f,2024-08-08 01:19:46,iQOO Z5 性能先锋,广东,,False,,#陈丽君回复周深粉丝#说她要去看解密和云边有个小卖部了！#周深献唱电影解密主题曲##周深唱云边有个小卖部主题曲#,9,0,0,8
426,5064906627615030,曜_x魄,5787231512,f,2024-08-08 01:21:44,小米10S,河南,,False,,#陈丽君回复周深粉丝# 这么喜欢蹭你周老师的热度？你周深老师的演唱会又又又又售罄啦，代言的产品销量也超级可观，抽空还能给米姐分享点自拍日常照，每天行程忙的飞起，你们文盲又喜欢偷歌的陈丽君姐姐不会还没有行程在家想着怎么偷歌蹭周老师热度吧对了，电影我还是推荐去看《解密》,9,0,0,14
427,5064906652517742,雨落卿尘1996,6765136173,f,2024-08-08 01:21:50,iQOO Z5 性能先锋,广东,,False,,#陈丽君回复周深粉丝#说她要去看解密了 不看某某传了#周深献唱电影解密主题曲#,13,0,0,8
428,5064906971546417,Emily身披混天绫,7795938924,m,2024-08-08 01:23:06,iPhone客户端,福建,【M别来沾边】良好作息保持者，努力不摆烂仰卧起坐者😋,False,,#陈丽君回复周深粉丝# 陈丽君，越剧届玖月晞 心动葡萄柚的微博视频,26,2,5,515
429,5064907066443781,就决定是卡波拉了,7415563605,f,2024-08-08 01:23:29,Redmi Note 11 5G,广东,一切言论仅代表个人观点,False,,#陈丽君回复周深粉丝#好好好，看来君君是蹭上瘾了🤭，诚邀大家去电影院看周深演唱了同名主题曲的电影《解密》#周深献唱电影解密主题曲#,124,5,2,24
430,5064907234216099,如琢如磨cs,7481185574,f,2024-08-08 01:24:09,iPhone客户端,山东,要可爱不要丧,False,,#陈丽君回复周深粉丝#感谢陈女士提供的广告位[淡淡的]内地最年轻体育场巡演歌手@卡布叻_周深 🥰荣获【五个一】国奖的时代之声🔥联合国总部献唱‼️新专辑《反深代词》销售额6分钟破千万24小时破2500万，首周销量破100w张，销售额破3800万➕空降COSMO五月og双封杂志邀封销售额24小时破500万 评论配图,12,0,1,12
431,5064907277992970,十月的第二十六日,2218489760,f,2024-08-08 01:24:19,iPhone客户端,重庆,呆宝,False,,#陈丽君回复周深粉丝#买这么多热搜，好的知道了，知道陈丽君因为版权问题出来道歉并删除了侵权视频了，知道她团的陈少青也补加上了歌名作词作曲原唱（但后面删除了视频），知道六公主重视版权后面补标上原唱原作了，知道《光亮》出品方出来说这是周深的歌了……也请陈丽君粉丝别整受害者有罪论好不好？好的[毕业快乐],16,0,2,739
432,5064907292672033,你想吃水密桃吗,6302390214,f,2024-08-08 01:24:22,iQOO Neo6 SE竞速标杆,福建,快给我温壶热酒来，我吃了好快活快活,False,,#陈丽君回复周深粉丝#不红，倒是爱蹭,7,0,0,49
433,5064907311022439,呼啦啦呀jie,6750575024,f,2024-08-08 01:24:26,真我Q2 双5G手机,广东,,False,,#陈丽君回复周深粉丝#白蛇不好看，看解密，看了解密写个150字的读后感我就大人不计小人过原谅你了,8,0,0,1
434,5064907312071867,巴塞罗那城墙上的猫,6013881662,f,2024-08-08 01:24:27,HUAWEI Mate 30 5G,广东,,False,,#陈丽君回复周深粉丝#陈丽君好在意周深粉丝啊，三天内cue了两次上rs，不过听过好多粉丝不知道她是谁，可能周深粉丝都去电影院看解密了吧？同名主题曲解密可真好听！,44,3,2,32
