,微博id,微博发布者,微博发布者id,微博发布者性别,微博发布时间,微博发布来源,微博发布IP归属地,微博简介,认证状态,认证理由,content,like_cnt,comment_cnt,repost_cnt,fan_cnt
11,5064106161735442,是曹萌萌_嬷嬷,3178157023,f,2024-08-05 20:20:58,iPhone 15 Pro Max,福建,过好生活的每一天。守护最好的陈丽君。,True,娱乐博主 超话创作官（陈丽君超话）,"#陈丽君回应周深粉丝#
被周深家粉丝笑死。
你们自己看看拿来控评截图里的内容和陈丽君本人有关系么？只能拿网友言论升堂的样子真的好可怜啊。

按照你们家的逻辑，转发有翻唱内容的节目视频没有注明原唱需要道歉，那周深本人亲自发自己在节目上翻唱别人的歌的视频却不备注原唱是不是应该向原唱磕头认错啊？@卡布叻_周深",1448,306,391,3.7万
12,5064113745039812,潇然可以在一起hhhh,6884076864,m,2024-08-05 20:51:06,iQOO 12 内外出众,贵州,娱乐博主,True,微博原创视频博主,#陈丽君回应周深粉丝#陈丽君真的好体面大方啊。这么久以来，好像都没有听到过zs自己创作的歌曲，都是翻唱，而且还没有原唱好听，也不能正面引导自己的fs，我觉得这样下去他肯定不会长久🔥吧,4515,343,464,4951
13,5064113872970061,罄Lv_月,5611792229,f,2024-08-05 20:51:37,iQOO Neo7,贵州,,False,,"#陈丽君# &#陈丽君 偷歌# &#陈丽君回应周深粉丝#
这是我最后一次把我的微博空间浪费在以陈丽君为首的无耻群体身上！做人先立德，这也是从艺最基本的要求！经过这次，我不信你还敢像两年来那样狂妄地、未经版权方同意翻唱《光亮》戏曲部分！你和你粉丝，不卖腐的时候好好学学法律，多用知识补补脑吧。真的无数次恶心到了我！",41,1,1,100
14,5064114034181999,低头风来,6581119516,f,2024-08-05 20:52:15,周深所愿皆成真,重庆,在听周深新专辑《反深代词》。,True,超话粉丝大咖（周深超话） 微博原创视频博主,#陈丽君回应周深粉丝# 来都来了，请看超绝文盲👉@陈丽君_点绛唇 陈丽君，我说的话你一定要记住了 门槛读kan，不读lan 耳濡目染，不读xu 是蟾宫折桂，而不是蟾宫折挂 要考试的小朋友千万不要看这个视频，小心学坏 白御新的微博视频,6951,867,1085,5.1万
15,5064114642360541,feidaotianbian,5335158423,f,2024-08-05 20:54:40,iPhone客户端,山西,路漫漫其修远兮,False,,#陈丽君回应周深粉丝#人家陈老师就唱了两句再说央6是有版权的，周深粉丝发什么疯,130,12,4,256
16,5064114785484913,Pure哈喽,5699515111,f,2024-08-05 20:55:13,nova8 我由我掌镜,陕西,,False,,#陈丽君回应周深粉丝#@卡布叻_周深 @音乐缘计划 请问周深是否知道七七事变？同时的话需要解释下为什么在7月7日邀请日本人参与你的演唱会呢？#请周深粉丝停止造谣#,1024,202,349,18
17,5064115005694249,狐驼驼,7560909698,f,2024-08-05 20:56:07,图图小淘气Android,辽宁,又幸福了🥰,True,娱乐博主,#陈丽君回应周深粉丝# 前脚下yxh后脚上rs，打配合打的挺好的，所以双标的周深粉丝什么时候道歉,104,6,10,1664
18,5064115006998672,橙汁果冻橙,2821018057,f,2024-08-05 20:56:07,陈丽君老婆Android,浙江,陈丽君🥰,True,娱乐博主,#陈丽君回应周深粉丝##请周深粉丝停止造谣# 1.本次演出版权已和主办方确认。不应有异议。 2.两年前的片段 早已标注原唱。 3.周深大粉激化矛盾，言语不堪入目，dfxr素质低劣，这就是你家的粉丝吗？,2241,363,695,2263
19,5064115209110898,泰兰德的公主莎,5532547437,f,2024-08-05 20:56:55,iPhone 14 Pro,日本,爱是有回应的山谷,True,娱乐博主,#陈丽君回应周深粉丝# 周深粉丝先是拿版权说事，结果版权问题主办方事先已经沟通过了，周深粉丝又说有版权也要标明原唱，这样的话我都替如愿这些原唱委屈，也麻烦周深粉丝速速联系周深让他把以前抖音和演唱会上翻唱的歌没有标原唱的都补上并给原唱道歉，这么熟练原来是惯偷了啊,5995,716,1475,1.5万
20,5064115229557428,格桑梅朵HN,1934213760,f,2024-08-05 20:57:00,三星 GALAXY Note8,青海,陈丽君和她的粉丝，一个背刺搭档一个对搭档各种污言秽语。一个卖腐卖姬，一个造谣成性，希望假男人正主和真女生粉丝锁死。,False,,#陈丽君回应周深粉丝#陈丽君这哪里是回复啊这是引导她家粉丝网暴素人吧。,105,20,2,494
21,5064115263901437,VI甄,3868801642,f,2024-08-05 20:57:08,K30S 至尊纪念版,北京,不要把一切当作理所当然，没人欠你的,True,超话粉丝大咖（田馥甄超话）,#陈丽君回应周深粉丝# 谁家有公司呀，谁家下场买营销号了呀，路人都看的出来，陈丽君已发博回应，周粉没完没了，还人身攻击。话说周老师也翻唱好多歌没有备注原唱，也是偷歌了吧,66,2,2,476
22,5064115316068292,蓝精灵好吃嘛_,5247471422,m,2024-08-05 20:57:21,深米所愿皆成真,江苏,喜欢就好，不喜闭嘴，梦女，慎关，谢谢配合。（镇魂防搜,True,娱乐博主 超话粉丝大咖（周深超话） 微博剪辑视频博主,#陈丽君回应周深粉丝# 脆弱又敏感易碎的32岁小女孩@陈丽君_点绛唇 你偷歌，粉丝骂人，天生一对。 先是下场引导粉丝网暴素人，后是把一年接不到几个通告的预算都拿来买yxh了，现在都知道你是小偷➕文盲，你的死鸭子嘴硬该怎么办呀！嗨呀！,21,0,4,2609
23,5064115469156559,七十二時-想见戚薇版,7509758995,f,2024-08-05 20:57:56,路边捡的HarmonyOS設備,湖北,我圈起所有爱围城风雨的禁地.,False,,#陈丽君回应周深粉丝# 陈丽君体面人+被害者而已，毕竟对面是偷歌鼻祖靠偷歌起家，唱别人的歌唱着唱着就成自己的了，原唱是不标注的，粉丝是双标的。偷歌贼sj粉圈宁愿躲在粉丝身后也不出来正确引导粉丝，陈丽君作为一个圈外人真的实惨。,627,80,95,1万
24,5064115479383359,吃饺子蘸辣椒粉,7575522234,f,2024-08-05 20:58:00,iPhone 8 Plus,广西,所爱隔山海，山海皆可平,False,,#陈丽君回应周深粉丝#整件事来龙去脉，请看图,47,2,3,65
